"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208226","RED FLAP FOR IN LINE SHUT OFF.","לשונית אדומה לשסגור.","Active",1
"","","","","PLS","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208226","RED FLAP FOR IN LINE SHUT OFF.","לשונית אדומה לשסגור.","Active",1
"02100049","NOT ACTIVE- NOT ACTIVE- LOWER HALF FOR SADDLE CONNECTOR SHUTOFF","NOT ACTIVE-- - חלק תחתון לרוכב שסגור קומ","Inactive","MST","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208225","BLACK FLAP FOR IN LINE SHUT OFF.","לשונית לשסגור.","Active",1
"","","","","PLS","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208225","BLACK FLAP FOR IN LINE SHUT OFF.","לשונית לשסגור.","Active",1
"02100050","SADDLE CONN.SHUTOFF FOR B.DRINKER","רוכב שסגור לשוקת קומפלט","Active","MST","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208225","BLACK FLAP FOR IN LINE SHUT OFF.","לשונית לשסגור.","Active",1
"","","","","PLS","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
"","","","","","","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active",1
"","","","","","","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active",2
"","","","","","","02208225","BLACK FLAP FOR IN LINE SHUT OFF.","לשונית לשסגור.","Active",1
"02100052","NOT ACTIVE- FLEX.TUBE FOR B.DRINKER 5.7-9.0(30OR150)","NOT ACTIVE-- צנור לשוקת 5.7-9.0 למטר(ב30-מ' או 150מ')","Inactive","MST","Primary","02100077","FLEX TUBE FOR B.DRINKER - 30M. NARROW","צינור לשוקת 30 מ' דק","Active",0.03333
